protein	pfam	product
UHM1073.23039_R.bin.125|k141_515361_38	ClpS	ClpS
UHM1210.23070_R.bin.101|k141_1066781_14	CSD,NYN,USA1_M	CSD,NYN,USA1_M
UHM1210.23070_R.bin.101|k141_1066781_73	DZR_2,GAF_2,GAF_EFCB5_2nd	DZR_2,GAF_2,GAF_EFCB5_2nd
UHM1210.23070_R.bin.101|k141_35550_25	Hydrophobin_like	Hydrophobin_like
UHM1210.23070_R.bin.101|k141_983138_34	ClpS,TPR_TEX10	ClpS,TPR_TEX10
EHM034674|EHA02355_bin.24_gene_114_2	CD34_antigen	CD34_antigen
EHM034674|EHA02355_bin.24_gene_114_3	T2SSK_1st	T2SSK_1st
EHM034674|EHA02355_bin.24_gene_114_4	N_methyl,Sigma_reg_N	N_methyl,Sigma_reg_N
EHM034674|EHA02355_bin.24_gene_114_5		
EHM034674|EHA02355_bin.24_gene_114_6	LidA_Long_CC,SPAR	LidA_Long_CC,SPAR
EHM034674|EHA02355_bin.24_gene_114_7	N_methyl,T2SSG	N_methyl,T2SSG
EHM034674|EHA02355_bin.24_gene_116_3		
EHM034674|EHA02355_bin.24_gene_131_12	2-Hacid_dh_C,6PGD,DUF7280,NAD_binding_11,NAD_binding_2	2-Hacid_dh_C,6PGD,DUF7280,NAD_binding_11,NAD_binding_2
EHM034674|EHA02355_bin.24_gene_131_14	7TM_GPCR_Sra,Med21,MSP1a	7TM_GPCR_Sra,Med21,MSP1a
EHM034674|EHA02355_bin.24_gene_156_1		Xaa-Pro aminopeptidase
EHM034674|EHA02355_bin.24_gene_156_7	DUF6241,RPAP1_N	DUF6241,RPAP1_N
EHM034674|EHA02355_bin.24_gene_161_4	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8
EHM034674|EHA02355_bin.24_gene_173_9	HAD_2,Hydrolase,Hydrolase_like	HAD_2,Hydrolase,Hydrolase_like
EHM034674|EHA02355_bin.24_gene_183_5	Gln-synt_C,Gln-synt_N	Gln-synt_C,Gln-synt_N
EHM034674|EHA02355_bin.24_gene_193_5		
EHM034674|EHA02355_bin.24_gene_202_2	Endotoxin_C2,HEAT_Nup120	Endotoxin_C2,HEAT_Nup120
EHM034674|EHA02355_bin.24_gene_209_20	DUF294,GlnD_UR_UTase,GlnE,NTP_transf_2	DUF294,GlnD_UR_UTase,GlnE,NTP_transf_2
EHM034674|EHA02355_bin.24_gene_222_2	DEXQc_Suv3,Glyco_hydro_94,Oleosin	DEXQc_Suv3,Glyco_hydro_94,Oleosin
EHM034674|EHA02355_bin.24_gene_251_4	DUF4149,Phage_holin_3_6	DUF4149,Phage_holin_3_6
EHM034674|EHA02355_bin.24_gene_318_6	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant,GlnD_3rd	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant,GlnD_3rd
EHM034674|EHA02355_bin.24_gene_355_10	SGL,Str_synth,Vgb_lyase	SGL,Str_synth,Vgb_lyase
EHM034674|EHA02355_bin.24_gene_363_1		
EHM034674|EHA02355_bin.24_gene_36_4		
EHM034674|EHA02355_bin.24_gene_39_25	Chitin_synth_1,Polysacc_deac_2,RNA12	Chitin_synth_1,Polysacc_deac_2,RNA12
EHM034674|EHA02355_bin.24_gene_41_5	DUF3726,DUF6264	DUF3726,DUF6264
EHM034674|EHA02355_bin.24_gene_45_1	OpcA_G6PD_assem,OpcA_G6PD_C	OpcA_G6PD_assem,OpcA_G6PD_C
EHM034674|EHA02355_bin.24_gene_45_2	G6PD_C,G6PD_N	G6PD_C,G6PD_N
EHM034674|EHA02355_bin.24_gene_58_23	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8
EHM034674|EHA02355_bin.24_gene_58_9	Caskin-tail,Cytomega_gL,DUF2017	Caskin-tail,Cytomega_gL,DUF2017
EHM034674|EHA02355_bin.24_gene_62_1		
EHM034674|EHA02355_bin.24_gene_86_8	SH3_4	SH3_4
EHM034692|EHA02331_bin.15_gene_123_5	SGL,Str_synth,TP_0783,Vgb_lyase	SGL,Str_synth,TP_0783,Vgb_lyase
EHM034692|EHA02331_bin.15_gene_140_1	ALMT,CDC45,DDHD,DUF6739,FAM60A,GlpR,Mat89Bb,MDM10,NPR3,NST1,PFF1_TM,PIP5K,Presenilin,Raftlin,TP_0598_N,Trypan_PARP,VID28_C,Zip	ALMT,CDC45,DDHD,DUF6739,FAM60A,GlpR,Mat89Bb,MDM10,NPR3,NST1,PFF1_TM,PIP5K,Presenilin,Raftlin,TP_0598_N,Trypan_PARP,VID28_C,Zip
EHM034692|EHA02331_bin.15_gene_166_2	2-Hacid_dh_C,6PGD,DUF7280,HTH_Tnp_Mu_2,NAD_binding_11,NAD_binding_2	2-Hacid_dh_C,6PGD,DUF7280,HTH_Tnp_Mu_2,NAD_binding_11,NAD_binding_2
EHM034692|EHA02331_bin.15_gene_166_4	7TM_GPCR_Sra,DUF2749,Piezo_TM1-24	7TM_GPCR_Sra,DUF2749,Piezo_TM1-24
EHM034692|EHA02331_bin.15_gene_169_10	AhpC-TSA,Redoxin,Thioredoxin_2	AhpC-TSA,Redoxin,Thioredoxin_2
EHM034692|EHA02331_bin.15_gene_194_1		
EHM034692|EHA02331_bin.15_gene_219_1	T2SSK_1st	T2SSK_1st
EHM034692|EHA02331_bin.15_gene_219_2	CD34_antigen	CD34_antigen
EHM034692|EHA02331_bin.15_gene_219_3	Amuc_1100,MwoI_central,T2SSM_N	Amuc_1100,MwoI_central,T2SSM_N
EHM034692|EHA02331_bin.15_gene_21_9	DUF8101,TPR_14,TPR_16,TPR_2,TPR_BSK1_C,TP_0391_C,TP_0855_helical	DUF8101,TPR_14,TPR_16,TPR_2,TPR_BSK1_C,TP_0391_C,TP_0855_helical
EHM034692|EHA02331_bin.15_gene_232_26		
EHM034692|EHA02331_bin.15_gene_244_8	HEAT_Nup120,Toprim_3	HEAT_Nup120,Toprim_3
EHM034692|EHA02331_bin.15_gene_251_2	G6PD_C,G6PD_N	G6PD_C,G6PD_N
EHM034692|EHA02331_bin.15_gene_251_3	OpcA_G6PD_assem,OpcA_G6PD_C	OpcA_G6PD_assem,OpcA_G6PD_C
EHM034692|EHA02331_bin.15_gene_259_8		
EHM034692|EHA02331_bin.15_gene_261_2		
EHM034692|EHA02331_bin.15_gene_261_3		
EHM034692|EHA02331_bin.15_gene_261_5	N_methyl,T2SSG	N_methyl,T2SSG
EHM034692|EHA02331_bin.15_gene_268_2		
EHM034692|EHA02331_bin.15_gene_284_12	Phage_holin_3_6	Phage_holin_3_6
EHM034692|EHA02331_bin.15_gene_35_1	Gln-synt_N	Gln-synt_N
EHM034692|EHA02331_bin.15_gene_52_2	DUF3106,DUF6241,RPAP1_N	DUF3106,DUF6241,RPAP1_N
EHM034692|EHA02331_bin.15_gene_55_2	Cytomega_gL,DUF2017	Cytomega_gL,DUF2017
EHM034692|EHA02331_bin.15_gene_62_12	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant,GlnD_3rd,GlnD_UR_UTase,GlnE,Myb_DNA-bind_3,Myb_DNA-bind_4,NTP_transf_2	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant,GlnD_3rd,GlnD_UR_UTase,GlnE,Myb_DNA-bind_3,Myb_DNA-bind_4,NTP_transf_2
EHM034692|EHA02331_bin.15_gene_67_2		
EHM034692|EHA02331_bin.15_gene_71_8	Oleosin	Oleosin
EHM034692|EHA02331_bin.15_gene_87_13		
EHM034692|EHA02331_bin.15_gene_89_16	HAD_2,Hydrolase,Hydrolase_like	HAD_2,Hydrolase,Hydrolase_like
EHM034720|EHA02359_bin.2_gene_113_5		
EHM034720|EHA02359_bin.2_gene_151_2	5_nucleotid,Acid_PPase,DUF2209,HAD_2,Hydrolase,Hydrolase_like	5_nucleotid,Acid_PPase,DUF2209,HAD_2,Hydrolase,Hydrolase_like
EHM034720|EHA02359_bin.2_gene_152_8	DUF7344,Endotoxin_C2,HEAT_Nup120,SOV1_middle,SUCH1_C,TPR_19,TPR_30	DUF7344,Endotoxin_C2,HEAT_Nup120,SOV1_middle,SUCH1_C,TPR_19,TPR_30
EHM034720|EHA02359_bin.2_gene_153_1	GlnD_3rd,GlnD_UR_UTase,HD,NTP_transf_2	GlnD_3rd,GlnD_UR_UTase,HD,NTP_transf_2
EHM034720|EHA02359_bin.2_gene_186_16	ATPTG10,DUF4034,HEAT_2,VG15,YTH3_C	ATPTG10,DUF4034,HEAT_2,VG15,YTH3_C
EHM034720|EHA02359_bin.2_gene_190_13	Gln-synt_C,Gln-synt_N	Gln-synt_C,Gln-synt_N
EHM034720|EHA02359_bin.2_gene_209_14	AhpC-TSA,DUF2322,DUF6436,Redoxin,Thioredoxin_2,Thioredoxin_8	AhpC-TSA,DUF2322,DUF6436,Redoxin,Thioredoxin_2,Thioredoxin_8
EHM034720|EHA02359_bin.2_gene_247_4	Tcp10_C	Tcp10_C
EHM034720|EHA02359_bin.2_gene_250_1	DUF8683,UVR	DUF8683,UVR
EHM034720|EHA02359_bin.2_gene_254_19	DUF6737	DUF6737
EHM034720|EHA02359_bin.2_gene_254_20	Cullin_Nedd8,FixS	Cullin_Nedd8,FixS
EHM034720|EHA02359_bin.2_gene_33_2	G6PD_C,G6PD_N	G6PD_C,G6PD_N
EHM034720|EHA02359_bin.2_gene_33_3	DUF8715,OpcA_G6PD_assem,OpcA_G6PD_C	DUF8715,OpcA_G6PD_assem,OpcA_G6PD_C
EHM034720|EHA02359_bin.2_gene_53_8	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant
EHM034720|EHA02359_bin.2_gene_56_3	DUF3240,Halo_RE,Nit_Regul_Hom,P-II	DUF3240,Halo_RE,Nit_Regul_Hom,P-II
EHM034720|EHA02359_bin.2_gene_76_19		
EHM034720|EHA02359_bin.2_gene_76_21	6PGD,NAD_binding_11,NAD_binding_2	6PGD,NAD_binding_11,NAD_binding_2
EHM034720|EHA02359_bin.2_gene_76_3	N_methyl	N_methyl
EHM034720|EHA02359_bin.2_gene_76_4	ABC_membrane_2,ComGE,N_methyl	ABC_membrane_2,ComGE,N_methyl
EHM034720|EHA02359_bin.2_gene_76_5	Jiraiya,N_methyl	Jiraiya,N_methyl
EHM034720|EHA02359_bin.2_gene_76_6	DUF1418,DUF8577,NCMAP,T2SSK_1st,UspB	DUF1418,DUF8577,NCMAP,T2SSK_1st,UspB
EHM034720|EHA02359_bin.2_gene_76_7	Av_adeno_fibre	Av_adeno_fibre
EHM034720|EHA02359_bin.2_gene_7_8	Arylesterase,DPPIV_N,Peptidase_S9_N,SGL,Str_synth,Vgb_lyase,WD40	Arylesterase,DPPIV_N,Peptidase_S9_N,SGL,Str_synth,Vgb_lyase,WD40
EHM034720|EHA02359_bin.2_gene_81_4	HVO_2718_N,NinF,Zn_ribbon_4,Zn_Ribbon_TF	HVO_2718_N,NinF,Zn_ribbon_4,Zn_Ribbon_TF
STP248.12601_R.bin.118|k141_540405_48	Gln-synt_C,Gln-synt_N	Gln-synt_C,Gln-synt_N
STP248.12601_R.bin.118|k141_540405_50	N_methyl	N_methyl
STP248.12601_R.bin.118|k141_540405_51	Chol_subst-bind	Chol_subst-bind
STP248.12601_R.bin.118|k141_540405_52	N_methyl	N_methyl
STP248.12601_R.bin.118|k141_540405_53	DUF6335,SAM_BAF,T2SSK_1st	DUF6335,SAM_BAF,T2SSK_1st
STP248.12601_R.bin.118|k141_540405_54		
STP248.12601_R.bin.118|k141_563334_30	ELG1_middle,Utp21	ELG1_middle,Utp21
STP248.12601_R.bin.118|k141_642822_6	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant,GlnD_3rd,GlnD_UR_UTase,HD,NTP_transf_2	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant,GlnD_3rd,GlnD_UR_UTase,HD,NTP_transf_2
STP248.12601_R.bin.118|k141_745868_12	Auto_anti-p27,JCAD,zf-dskA_traR,Zn_ribbon_11	Auto_anti-p27,JCAD,zf-dskA_traR,Zn_ribbon_11
STP248.12601_R.bin.118|k141_745868_25	HEAT_Nup120,TPR_2,TPR_30	HEAT_Nup120,TPR_2,TPR_30
STP248.12601_R.bin.118|k141_923502_7		
UHM1073.23039_R.bin.125|k141_197029_12	HEAT_2,RPAP1_N	HEAT_2,RPAP1_N
UHM1073.23039_R.bin.125|k141_200691_1	ALMT,CDC45,DDHD,DUF6739,GlpR,MDM10,NPR3,PF3D7_1223600_M,Presenilin,Raftlin,SLC12,SLC52_ribofla_tr,TP_0598_N,TRM10_TRM10A,Trypan_PARP,VID28_C	ALMT,CDC45,DDHD,DUF6739,GlpR,MDM10,NPR3,PF3D7_1223600_M,Presenilin,Raftlin,SLC12,SLC52_ribofla_tr,TP_0598_N,TRM10_TRM10A,Trypan_PARP,VID28_C
UHM1073.23039_R.bin.125|k141_223244_84		
UHM1073.23039_R.bin.125|k141_223244_95		
UHM1073.23039_R.bin.125|k141_228062_91	Oleosin	Oleosin
UHM1073.23039_R.bin.125|k141_311317_145	Myb_DNA-bind_4,N_methyl,T2SSG	Myb_DNA-bind_4,N_methyl,T2SSG
UHM1073.23039_R.bin.125|k141_311317_147		
UHM1073.23039_R.bin.125|k141_311317_148	N_methyl,Sigma_reg_N	N_methyl,Sigma_reg_N
UHM1073.23039_R.bin.125|k141_311317_149	T2SSK_1st	T2SSK_1st
UHM1073.23039_R.bin.125|k141_311317_150		
UHM1073.23039_R.bin.125|k141_311317_151	T2SSM_N	T2SSM_N
UHM1073.23039_R.bin.125|k141_311317_19	Gln-synt_C,Gln-synt_N	Gln-synt_C,Gln-synt_N
UHM1073.23039_R.bin.125|k141_311317_53	SGL,Str_synth,TP_0783,Vgb_lyase	SGL,Str_synth,TP_0783,Vgb_lyase
UHM1073.23039_R.bin.125|k141_327978_110	HAD_2,Hydrolase,Hydrolase_like	HAD_2,Hydrolase,Hydrolase_like
UHM1073.23039_R.bin.125|k141_327978_80		
UHM1073.23039_R.bin.125|k141_333189_4	HEAT_2,SH3_4	HEAT_2,SH3_4
UHM1073.23039_R.bin.125|k141_475898_57		
UHM1073.23039_R.bin.125|k141_490033_160	7TM_GPCR_Sra,Piezo_TM1-24,SID-1_RNA_chan,Zip	7TM_GPCR_Sra,Piezo_TM1-24,SID-1_RNA_chan,Zip
UHM1073.23039_R.bin.125|k141_490033_162	2-Hacid_dh_C,6PGD,DUF7280,NAD_binding_11,NAD_binding_2	2-Hacid_dh_C,6PGD,DUF7280,NAD_binding_11,NAD_binding_2
UHM1073.23039_R.bin.125|k141_490033_44	G6PD_C,G6PD_N	G6PD_C,G6PD_N
UHM1073.23039_R.bin.125|k141_490033_45	OpcA_G6PD_assem,OpcA_G6PD_C	OpcA_G6PD_assem,OpcA_G6PD_C
UHM1073.23039_R.bin.125|k141_490033_80	Endotoxin_C2,HEAT_Nup120,Toprim_3	Endotoxin_C2,HEAT_Nup120,Toprim_3
UHM1073.23039_R.bin.125|k141_515361_25	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8
UHM1073.23039_R.bin.125|k141_515361_39	Cytomega_gL,DUF2017	Cytomega_gL,DUF2017
UHM1073.23039_R.bin.125|k141_515361_94	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant,GlnD_3rd,GlnD_UR_UTase,GlnE,Myb_DNA-bind_3,Myb_DNA-bind_4,NTP_transf_2	ACT,ACT_4,ACT_ACR9_3rd,ACT_ACR_D1,bHLH-TF_ACT-like_plant,GlnD_3rd,GlnD_UR_UTase,GlnE,Myb_DNA-bind_3,Myb_DNA-bind_4,NTP_transf_2
UHM1073.23039_R.bin.125|k141_519366_19	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8
UHM1073.23039_R.bin.125|k141_58351_76	Phage_holin_3_6	Phage_holin_3_6
UHM1210.23070_R.bin.101|k141_1014015_36	Acid_PPase,HAD_2,Hydrolase,Hydrolase_like	Acid_PPase,HAD_2,Hydrolase,Hydrolase_like
UHM1210.23070_R.bin.101|k141_1135903_31		
UHM1210.23070_R.bin.101|k141_1193549_19	2-Hacid_dh_C,3HCDH_N,6PGD,NAD_binding_2,Shikimate_DH	2-Hacid_dh_C,3HCDH_N,6PGD,NAD_binding_2,Shikimate_DH
UHM1210.23070_R.bin.101|k141_1193549_43		
UHM1210.23070_R.bin.101|k141_1275766_89	OpcA_G6PD_assem,OpcA_G6PD_C	OpcA_G6PD_assem,OpcA_G6PD_C
UHM1210.23070_R.bin.101|k141_1275766_90	G6PD_C,G6PD_N,Ribonuc_red_2_N	G6PD_C,G6PD_N,Ribonuc_red_2_N
UHM1210.23070_R.bin.101|k141_284463_51	Cox20,DUF6768,DZR,DZR_2,NinF,PknG_rubred	Cox20,DUF6768,DZR,DZR_2,NinF,PknG_rubred
UHM1210.23070_R.bin.101|k141_35550_100	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8	AhpC-TSA,Redoxin,Thioredoxin_2,Thioredoxin_8
UHM1210.23070_R.bin.101|k141_44701_65	NHL,PhoX,SGL,Str_synth,Vgb_lyase	NHL,PhoX,SGL,Str_synth,Vgb_lyase
UHM1210.23070_R.bin.101|k141_692359_19	8xMP,DUF3290,DUF4731,DUF485,DUF6903,Phage_holin_3_6,Ycf70	8xMP,DUF3290,DUF4731,DUF485,DUF6903,Phage_holin_3_6,Ycf70
UHM1210.23070_R.bin.101|k141_983138_33	DUF2017	DUF2017
