genome	source	completeness	contamination	contigs	rRNA_5S	rRNA_16S	rRNA_23S	tRNA_types	species_cluster	in_reduced_C286	size_Mb	gc_percent	dist_to_genus_median	meets_all_criteria
EHM035240	EHI	86.67	3.94	499	-	-	-	18	C289	no	2.93	49.25	0.041	no
EHM035134	EHI	85.04	2.65	712	-	-	-	18	C289	no	2.80	49.16	0.084	no
EHM035176	EHI	84.18	0.75	368	-	-	-	16	C286	YES	2.09	43.93	0.419	no
EHM047896	EHI	82.84	1.26	445	+	+	-	19	C286	YES	2.04	43.83	0.435	no
EHM058980	EHI	82.15	2.39	789	+	-	-	17	C289	no	2.64	49.23	0.137	no
UHM989.23064_R.bin.194	UHM	81.77	2.72	474	-	-	-	12	C290	no	2.62	52.18	0.203	no
EHM059885	EHI	81.51	0.26	460	-	-	-	14	C286	YES	2.06	43.96	0.428	no
EHM060141	EHI	81.46	9.63	592	-	-	-	18	C287	no	3.32	49.35	0.096	no
EHM058641	EHI	81.42	2.30	505	-	-	-	17	C289	no	2.52	49.64	0.186	no
EHM059360	EHI	74.11	0.66	655	-	-	-	17	C289	no	2.74	49.02	0.101	no
EHM058879	EHI	71.81	0.85	746	+	+	+	17	C289	no	2.51	49.08	0.178	no
EHM059064	EHI	64.77	0.09	506	-	-	-	14	C286	YES	1.53	43.70	0.606	no
EHM058357	EHI	62.53	1.32	493	-	-	-	13	C286	YES	1.47	43.81	0.624	no
EHM059649	EHI	62.13	0.78	516	-	-	-	13	C286	YES	1.53	43.57	0.609	no
EHM047764	EHI	59.72	1.67	360	-	-	-	13	C286	YES	1.42	43.65	0.644	no
EHM047852	EHI	57.51	2.10	853	-	+	-	14	C287	no	2.35	49.69	0.242	no
EHM059625	EHI	53.53	2.64	867	+	+	-	14	C287	no	2.34	48.56	0.241	no
EHM059937	EHI	51.24	2.45	799	-	-	-	14	C290	no	2.26	51.10	0.300	no
