genome	arm	from_dataset	checkm_completeness	n_cazy_families	taxonomic_level	clade_separation_score	contamination_portion	reference_representation_score	mean_hit_identity	n_contigs	pass_gunc	strict_chimera
EHM035336	Akkermansia_amph	EHI_2025	100.00	55	family	0.840	0.040	0.570	0.760	152	FAIL	no
EHM035359	Akkermansia_amph	EHI_2025	99.99	48	class	0.110	0.050	0.460	0.600	99	pass	no
EHM047745	Akkermansia_amph	EHI_2025	63.13	32	phylum	0.240	0.100	0.480	0.600	540	pass	no
EHM047764	candidate	EHI_2025	59.72	34	phylum	0.130	0.130	0.460	0.570	358	pass	no
EHM047773	Akkermansia_amph	EHI_2025	100.00	56	kingdom	0.000	0.000	0.810	0.870	29	pass	no
EHM047778	candidate	EHI_2025	99.99	68	class	0.100	0.180	0.400	0.570	79	pass	no
EHM047810	candidate	EHI_2025	94.49	68	order	0.120	0.130	0.390	0.580	273	pass	no
EHM047851	Akkermansia_amph	EHI_2025	99.92	54	kingdom	0.000	0.000	0.690	0.750	152	pass	no
EHM047852	candidate	EHI_2025	57.51	52	order	0.520	0.170	0.360	0.580	826	FAIL	no
EHM047854	Akkermansia_amph	EHI_2025	99.99	46	order	0.460	0.070	0.430	0.610	128	FAIL	no
EHM047874	Akkermansia_amph	EHI_2025	99.97	46	phylum	0.120	0.130	0.480	0.590	130	pass	no
EHM047896	candidate	EHI_2025	82.84	41	order	0.210	0.050	0.400	0.570	436	pass	no
EHM047944	candidate	EHI_2025	99.96	46	class	0.090	0.040	0.420	0.570	49	pass	no
EHM047953	candidate	EHI_2025	91.55	60	order	0.240	0.120	0.390	0.590	547	pass	no
EHM047973	Akkermansia_amph	EHI_2025	99.99	46	class	0.130	0.070	0.460	0.600	85	pass	no
EHM047981	candidate	EHI_2025	94.26	42	order	0.180	0.040	0.400	0.570	333	pass	no
EHM047993	Akkermansia_amph	EHI_2025	99.99	44	order	0.570	0.030	0.420	0.600	109	FAIL	no
EHM048000	candidate	EHI_2025	92.18	69	order	0.210	0.130	0.380	0.580	411	pass	no
EHM058340	candidate	EHI_2025	100.00	66	phylum	0.040	0.210	0.460	0.560	76	pass	no
EHM058357	candidate	EHI_2025	62.53	30	phylum	0.160	0.140	0.440	0.560	480	pass	no
EHM058418	Akkermansia_amph	EHI_2025	99.93	46	order	0.160	0.020	0.450	0.610	213	pass	no
EHM058433	Akkermansia_amph	EHI_2025	79.82	50	kingdom	0.000	0.000	0.690	0.760	503	pass	no
EHM058453	candidate	EHI_2025	100.00	64	class	0.070	0.140	0.410	0.570	66	pass	no
EHM058620	Akkermansia_amph	EHI_2025	99.98	55	class	0.700	0.030	0.600	0.750	85	FAIL	no
EHM058641	candidate	EHI_2025	81.42	59	order	0.250	0.090	0.400	0.590	499	pass	no
EHM058666	Akkermansia_amph	EHI_2025	93.15	49	phylum	0.330	0.020	0.660	0.760	364	pass	no
EHM058669	candidate	EHI_2025	99.99	65	phylum	0.030	0.210	0.460	0.560	100	pass	no
EHM058679	Akkermansia_amph	EHI_2025	100.00	47	order	0.470	0.060	0.430	0.600	85	FAIL	no
EHM058709	candidate	EHI_2025	97.85	64	order	0.160	0.110	0.410	0.580	216	pass	no
EHM058731	Akkermansia_amph	EHI_2025	99.97	51	kingdom	0.000	0.000	0.690	0.760	82	pass	no
EHM058794	candidate	EHI_2025	99.95	70	phylum	0.070	0.250	0.440	0.560	102	pass	no
EHM058868	Akkermansia_amph	EHI_2025	100.00	46	class	0.120	0.070	0.470	0.600	77	pass	no
EHM058879	candidate	EHI_2025	71.81	61	order	0.400	0.130	0.390	0.580	732	pass	no
EHM058880	Akkermansia_amph	EHI_2025	99.99	53	phylum	0.080	0.020	0.660	0.760	59	pass	no
EHM058900	candidate	EHI_2025	99.81	64	order	0.080	0.120	0.390	0.580	78	pass	no
EHM058980	candidate	EHI_2025	82.15	53	order	0.320	0.130	0.400	0.590	768	pass	no
EHM058986	Akkermansia_amph	EHI_2025	99.99	52	kingdom	0.000	0.000	0.700	0.760	40	pass	no
EHM059008	candidate	EHI_2025	100.00	68	order	0.090	0.120	0.410	0.580	72	pass	no
EHM059064	candidate	EHI_2025	64.77	39	order	0.430	0.040	0.390	0.580	491	pass	no
EHM059126	Akkermansia_amph	EHI_2025	95.50	48	class	0.370	0.050	0.430	0.600	359	pass	no
EHM059156	Akkermansia_amph	EHI_2025	100.00	52	phylum	0.210	0.030	0.650	0.750	68	pass	no
EHM059209	Akkermansia_amph	EHI_2025	100.00	44	class	0.130	0.030	0.450	0.600	72	pass	no
EHM059216	candidate	EHI_2025	96.69	64	phylum	0.080	0.210	0.450	0.560	258	pass	no
EHM059230	candidate	EHI_2025	99.88	67	class	0.080	0.180	0.410	0.570	66	pass	no
EHM059270	Akkermansia_amph	EHI_2025	99.99	51	kingdom	0.000	0.000	0.690	0.750	74	pass	no
EHM059280	candidate	EHI_2025	99.94	68	order	0.110	0.140	0.380	0.580	81	pass	no
EHM059333	candidate	EHI_2025	99.89	73	class	0.100	0.160	0.420	0.580	53	pass	no
EHM059360	candidate	EHI_2025	74.11	63	class	0.330	0.190	0.410	0.580	645	pass	no
EHM059405	candidate	EHI_2025	99.99	44	order	0.120	0.040	0.410	0.570	80	pass	no
EHM059424	Akkermansia_amph	EHI_2025	99.99	53	phylum	0.220	0.040	0.650	0.750	86	pass	no
EHM059433	candidate	EHI_2025	100.00	66	order	0.170	0.130	0.390	0.580	93	pass	no
EHM059442	Akkermansia_amph	EHI_2025	100.00	48	phylum	0.080	0.110	0.480	0.590	64	pass	no
EHM059595	Akkermansia_amph	EHI_2025	100.00	48	class	0.120	0.060	0.440	0.600	98	pass	no
EHM059625	candidate	EHI_2025	53.53	51	order	0.550	0.230	0.340	0.590	815	FAIL	no
EHM059643	Akkermansia_amph	EHI_2025	60.94	35	class	0.350	0.050	0.470	0.610	379	pass	no
EHM059645	Akkermansia_amph	EHI_2025	79.65	52	kingdom	0.000	0.000	0.680	0.760	502	pass	no
EHM059649	candidate	EHI_2025	62.13	32	order	0.350	0.060	0.420	0.580	505	pass	no
EHM059655	Akkermansia_amph	EHI_2025	99.98	54	phylum	0.160	0.020	0.680	0.760	90	pass	no
EHM059669	candidate	EHI_2025	99.98	68	order	0.110	0.130	0.360	0.570	161	pass	no
EHM059778	Akkermansia_amph	EHI_2025	99.96	54	phylum	0.120	0.020	0.680	0.760	54	pass	no
EHM059788	Akkermansia_amph	EHI_2025	99.38	47	order	0.240	0.030	0.430	0.610	361	pass	no
EHM059794	candidate	EHI_2025	99.99	45	order	0.110	0.040	0.420	0.570	67	pass	no
EHM059835	Akkermansia_amph	EHI_2025	99.97	42	class	0.100	0.060	0.460	0.600	74	pass	no
EHM059873	Akkermansia_amph	EHI_2025	99.95	54	phylum	0.100	0.020	0.680	0.760	62	pass	no
EHM059885	candidate	EHI_2025	81.51	41	order	0.200	0.040	0.400	0.570	453	pass	no
EHM059896	Akkermansia_amph	EHI_2025	100.00	46	class	0.170	0.090	0.440	0.600	103	pass	no
EHM059934	Akkermansia_amph	EHI_2025	99.99	47	class	0.090	0.060	0.450	0.600	103	pass	no
EHM059937	candidate	EHI_2025	51.24	56	order	0.380	0.150	0.380	0.600	778	pass	no
EHM059951	candidate	EHI_2025	99.88	66	phylum	0.080	0.230	0.440	0.560	94	pass	no
EHM059967	candidate	EHI_2025	99.98	46	class	0.060	0.040	0.420	0.570	44	pass	no
EHM059995	Akkermansia_amph	EHI_2025	100.00	44	order	0.490	0.070	0.420	0.600	116	FAIL	no
EHM060011	candidate	EHI_2025	99.88	45	class	0.070	0.040	0.430	0.570	41	pass	no
EHM060058	candidate	EHI_2025	99.99	46	phylum	0.110	0.140	0.460	0.560	48	pass	no
EHM060080	candidate	EHI_2025	96.32	65	order	0.200	0.140	0.380	0.580	344	pass	no
EHM060097	Akkermansia_amph	EHI_2025	99.99	47	order	0.160	0.030	0.420	0.600	108	pass	no
EHM060125	Akkermansia_amph	EHI_2025	99.98	44	class	0.180	0.050	0.450	0.600	99	pass	no
EHM060141	candidate	EHI_2025	81.46	64	order	0.280	0.140	0.380	0.580	589	pass	no
EHM060165	Akkermansia_amph	EHI_2025	99.96	48	class	0.110	0.080	0.450	0.600	101	pass	no
EHM062124	Akkermansia_amph	EHI_2025	99.99	45	class	0.130	0.050	0.450	0.600	124	pass	no
EHM062140	candidate	EHI_2025	99.92	46	class	0.080	0.040	0.430	0.570	38	pass	no
EHM062335	candidate	EHI_2025	99.99	45	order	0.150	0.070	0.410	0.570	77	pass	no
EHM062339	Akkermansia_amph	EHI_2025	99.99	46	class	0.080	0.060	0.450	0.600	80	pass	no
EHM062382	Akkermansia_amph	EHI_2025	99.97	54	kingdom	0.000	0.000	0.700	0.750	55	pass	no
STP248.12601_R.bin.115	Akkermansia_amph	herptile_MAG	94.56	46	phylum	0.080	0.090	0.480	0.590	47	pass	no
STP248.12601_R.bin.118	candidate	herptile_MAG	95.92	70	order	0.060	0.150	0.380	0.570	43	pass	no
STP248.12601_R.bin.59	Akkermansia_amph	herptile_MAG	97.96	53	phylum	0.050	0.060	0.520	0.610	45	pass	no
STP294.12602_R.bin.124	Akkermansia_amph	herptile_MAG	97.96	50	phylum	0.050	0.080	0.520	0.620	25	pass	no
STP572.12604_R.bin.69	Akkermansia_amph	herptile_MAG	86.38	46	class	0.290	0.020	0.500	0.630	228	pass	no
UHM1073.23039_R.bin.125	candidate	herptile_MAG	97.96	67	class	0.050	0.130	0.420	0.580	41	pass	no
UHM1073.41096_R.bin.29	Akkermansia_amph	herptile_MAG	97.28	48	class	0.050	0.030	0.490	0.620	39	pass	no
UHM1073.41096_R.bin.3	candidate	herptile_MAG	94.56	63	class	0.080	0.130	0.430	0.580	102	pass	no
UHM1080.23066_R.bin.163	candidate	herptile_MAG	97.28	66	class	0.020	0.090	0.400	0.580	40	pass	no
UHM1080.23066_R.bin.78	Akkermansia_amph	herptile_MAG	90.34	57	kingdom	0.000	0.000	0.830	0.880	164	pass	no
UHM1080.41097_R.bin.147	candidate	herptile_MAG	93.66	53	order	0.190	0.120	0.400	0.590	260	pass	no
UHM1080.41097_R.bin.23	Akkermansia_amph	herptile_MAG	97.96	41	class	0.110	0.030	0.490	0.630	24	pass	no
UHM1088.23067_R.bin.120	candidate	herptile_MAG	94.56	70	class	0.100	0.150	0.450	0.590	53	pass	no
UHM1088.23067_R.bin.125	Akkermansia_amph	herptile_MAG	97.96	51	class	0.060	0.030	0.490	0.630	21	pass	no
UHM1088.23067_R.bin.32	candidate	herptile_MAG	97.28	65	phylum	0.030	0.200	0.450	0.560	55	pass	no
UHM1088.23067_R.bin.54	candidate	herptile_MAG	98.64	51	order	0.060	0.040	0.450	0.590	17	pass	no
UHM1110.23068_R.bin.209	Akkermansia_amph	herptile_MAG	95.53	53	order	0.220	0.030	0.470	0.620	72	pass	no
UHM1110.41099_R.bin.126	Akkermansia_amph	herptile_MAG	94.17	43	class	0.210	0.030	0.470	0.620	74	pass	no
UHM1171.23069_R.bin.59	candidate	herptile_MAG	97.96	71	class	0.060	0.130	0.410	0.580	90	pass	no
UHM1171.41104_R.bin.105	candidate	herptile_MAG	97.28	54	order	0.120	0.130	0.410	0.580	113	pass	no
UHM1210.23070_R.bin.101	candidate	herptile_MAG	95.88	56	class	0.120	0.040	0.410	0.580	48	pass	no
UHM1210.23070_R.bin.39	Akkermansia_amph	herptile_MAG	95.92	51	phylum	0.040	0.080	0.520	0.610	50	pass	no
UHM1210.23070_R.bin.42	candidate	herptile_MAG	97.96	66	class	0.140	0.120	0.420	0.580	86	pass	no
UHM1210.41100_R.bin.142	candidate	herptile_MAG	96.56	30	order	0.130	0.040	0.410	0.580	52	pass	no
UHM1210.41100_R.bin.160	Akkermansia_amph	herptile_MAG	86.17	28	phylum	0.060	0.080	0.530	0.620	49	pass	no
UHM1210.41100_R.bin.82	candidate	herptile_MAG	97.96	32	order	0.130	0.120	0.410	0.580	87	pass	no
UHM1225.23071_R.bin.67	Akkermansia_amph	herptile_MAG	97.28	52	phylum	0.050	0.090	0.530	0.620	51	pass	no
UHM1225.41101_R.bin.117	Akkermansia_amph	herptile_MAG	88.44	39	phylum	0.070	0.100	0.530	0.620	51	pass	no
UHM1228.23072_R.bin.109	Akkermansia_amph	herptile_MAG	70.64	39	order	0.280	0.020	0.520	0.630	417	pass	no
UHM1228.23072_R.bin.119	Akkermansia_amph	herptile_MAG	97.96	54	phylum	0.080	0.090	0.540	0.620	76	pass	no
UHM1228.23072_R.bin.121	candidate	herptile_MAG	97.28	66	order	0.160	0.110	0.410	0.580	173	pass	no
UHM1228.23072_R.bin.133	candidate	herptile_MAG	96.56	56	order	0.110	0.040	0.400	0.580	48	pass	no
UHM1228.41102_R.bin.103	Akkermansia_amph	herptile_MAG	93.39	31	phylum	0.130	0.090	0.540	0.620	150	pass	no
UHM1228.41102_R.bin.214	candidate	herptile_MAG	92.18	42	class	0.260	0.180	0.430	0.580	310	pass	no
UHM1228.41102_R.bin.234	candidate	herptile_MAG	96.56	42	order	0.090	0.040	0.390	0.580	64	pass	no
UHM1327.23073_R.bin.104	Akkermansia_amph	herptile_MAG	97.28	51	class	0.190	0.020	0.480	0.620	169	pass	no
UHM1327.23073_R.bin.116	candidate	herptile_MAG	93.06	65	order	0.190	0.110	0.390	0.580	172	pass	no
UHM1327.23073_R.bin.92	candidate	herptile_MAG	95.06	54	class	0.100	0.050	0.420	0.570	98	pass	no
UHM1327.41103_R.bin.13	Akkermansia_amph	herptile_MAG	94.85	38	class	0.340	0.050	0.480	0.620	92	pass	no
UHM1327.41103_R.bin.200	candidate	herptile_MAG	94.25	40	order	0.160	0.110	0.390	0.580	98	pass	no
UHM1327.41103_R.bin.48	candidate	herptile_MAG	95.74	36	phylum	0.060	0.120	0.460	0.560	59	pass	no
UHM245.23042_R.bin.54	Akkermansia_amph	herptile_MAG	89.66	58	kingdom	0.000	0.000	0.820	0.870	22	pass	no
UHM298.41072_R.bin.118	Akkermansia_amph	herptile_MAG	77.55	42	class	0.100	0.040	0.430	0.610	84	pass	no
UHM298.41072_R.bin.71	candidate	herptile_MAG	93.07	65	order	0.490	0.180	0.390	0.580	349	FAIL	no
UHM298.41072_R.bin.90	candidate	herptile_MAG	96.42	55	order	0.080	0.040	0.410	0.580	52	pass	no
UHM467.41073_R.bin.119	Akkermansia_amph	herptile_MAG	72.35	30	class	0.300	0.030	0.440	0.610	374	pass	no
UHM467.41073_R.bin.88	Akkermansia_amph	herptile_MAG	92.62	39	class	0.390	0.020	0.460	0.630	259	pass	no
UHM905.23056_R.bin.2	candidate	herptile_MAG	86.90	63	order	0.270	0.150	0.410	0.590	635	pass	no
UHM967.23060_R.bin.185	candidate	herptile_MAG	93.88	66	order	0.050	0.120	0.410	0.580	46	pass	no
UHM967.23060_R.bin.25	candidate	herptile_MAG	98.64	51	order	0.030	0.040	0.430	0.590	19	pass	no
UHM967.23060_R.bin.96	Akkermansia_amph	herptile_MAG	85.22	45	class	0.110	0.040	0.500	0.620	14	pass	no
UHM969.23061_R.bin.162	Akkermansia_amph	herptile_MAG	95.92	50	order	0.060	0.060	0.390	0.580	47	pass	no
UHM969.23061_R.bin.5	Akkermansia_amph	herptile_MAG	90.34	56	kingdom	0.000	0.000	0.810	0.870	21	pass	no
UHM969.23061_R.bin.75	candidate	herptile_MAG	95.92	67	class	0.090	0.140	0.430	0.580	55	pass	no
UHM973.23044_R.bin.53	candidate	herptile_MAG	95.78	66	order	0.060	0.080	0.390	0.580	44	pass	no
UHM973.23044_R.bin.60	Akkermansia_amph	herptile_MAG	95.24	46	phylum	0.050	0.070	0.500	0.600	40	pass	no
UHM975.23062_R.bin.127	candidate	herptile_MAG	93.88	50	order	0.080	0.030	0.440	0.590	58	pass	no
UHM975.23062_R.bin.227	candidate	herptile_MAG	97.28	64	family	0.020	0.200	0.400	0.590	38	pass	no
UHM975.23062_R.bin.26	Akkermansia_amph	herptile_MAG	94.56	46	class	0.210	0.020	0.510	0.630	160	pass	no
UHM978.41088_R.bin.167	candidate	herptile_MAG	89.80	38	order	0.220	0.040	0.420	0.590	273	pass	no
UHM978.41088_R.bin.48	candidate	herptile_MAG	97.76	53	family	0.030	0.200	0.400	0.590	42	pass	no
UHM979.23045_R.bin.163	candidate	herptile_MAG	96.60	70	order	0.060	0.130	0.420	0.580	47	pass	no
UHM979.23045_R.bin.164	candidate	herptile_MAG	96.89	50	order	0.260	0.040	0.440	0.590	73	pass	no
UHM979.23045_R.bin.184	Akkermansia_amph	herptile_MAG	97.96	50	class	0.130	0.030	0.500	0.620	28	pass	no
UHM979.41089_R.bin.103	candidate	herptile_MAG	93.42	23	order	0.250	0.040	0.430	0.590	184	pass	no
UHM979.41089_R.bin.108	candidate	herptile_MAG	95.92	53	order	0.070	0.140	0.420	0.580	51	pass	no
UHM979.41089_R.bin.124	Akkermansia_amph	herptile_MAG	97.96	24	class	0.120	0.040	0.490	0.620	27	pass	no
UHM982.23046_R.bin.5	candidate	herptile_MAG	97.28	65	class	0.080	0.110	0.420	0.580	114	pass	no
UHM982.41090_R.bin.126	candidate	herptile_MAG	96.60	58	family	0.020	0.200	0.400	0.580	46	pass	no
UHM984.23047_R.bin.124	candidate	herptile_MAG	97.96	64	family	0.020	0.180	0.390	0.590	39	pass	no
UHM984.23047_R.bin.181	candidate	herptile_MAG	94.56	68	class	0.040	0.140	0.420	0.580	61	pass	no
UHM984.41091_R.bin.113	candidate	herptile_MAG	93.38	41	order	0.200	0.130	0.410	0.590	248	pass	no
UHM984.41091_R.bin.130	candidate	herptile_MAG	97.96	46	phylum	0.020	0.190	0.470	0.570	38	pass	no
UHM989.23064_R.bin.100	candidate	herptile_MAG	95.92	72	order	0.080	0.130	0.440	0.590	37	pass	no
UHM989.23064_R.bin.153	Akkermansia_amph	herptile_MAG	95.24	49	order	0.100	0.070	0.390	0.580	55	pass	no
UHM989.23064_R.bin.194	candidate	herptile_MAG	81.77	65	order	0.310	0.120	0.410	0.590	469	pass	no
UHM989.23064_R.bin.223	candidate	herptile_MAG	95.92	64	class	0.030	0.100	0.420	0.590	39	pass	no
UHM989.23064_R.bin.46	candidate	herptile_MAG	97.96	52	order	0.170	0.050	0.430	0.590	26	pass	no
UHM989.41093_R.bin.4	candidate	herptile_MAG	91.09	47	class	0.110	0.140	0.430	0.590	45	pass	no
UHM989.41093_R.bin.78	candidate	herptile_MAG	94.56	55	class	0.030	0.110	0.420	0.580	48	pass	no
UHM989.41093_R.bin.9	candidate	herptile_MAG	96.60	40	order	0.200	0.050	0.440	0.590	34	pass	no
UHM989.41093_R.bin.92	Akkermansia_amph	herptile_MAG	92.97	33	order	0.100	0.070	0.390	0.580	66	pass	no
UHM993.23065_R.bin.137	candidate	herptile_MAG	97.96	65	order	0.090	0.120	0.400	0.580	44	pass	no
UHM993.23065_R.bin.161	Akkermansia_amph	herptile_MAG	97.96	51	class	0.060	0.030	0.490	0.630	17	pass	no
UHM993.23065_R.bin.40	candidate	herptile_MAG	91.16	72	class	0.090	0.140	0.430	0.590	31	pass	no
UHM993.41094_R.bin.28	candidate	herptile_MAG	90.82	67	class	0.130	0.140	0.440	0.590	42	pass	no
UHM993.41094_R.bin.52	Akkermansia_amph	herptile_MAG	89.80	47	order	0.110	0.030	0.500	0.630	24	pass	no
UHM993.41094_R.bin.6	candidate	herptile_MAG	97.28	58	order	0.090	0.110	0.400	0.580	53	pass	no
