Protein ID	Source	Chrom	Start	Novelty	Support	Category	Gene family	Length (aa)	Similarity to selected	Ingroup	Outgroup	TBLASTN	Gene	Product	Source of annotation	Pfam domains	C286 (in)	C287 (in)	C288 (in)	C289 (in)	C294 (in)	C298 (in)	clade01 (out)	clade02 (out)	clade03 (out)	clade04 (out)	clade05 (out)	clade06 (out)	clade07 (out)	clade08 (out)	clade01 (tblastn)	clade02 (tblastn)	clade03 (tblastn)	clade04 (tblastn)	clade05 (tblastn)	clade06 (tblastn)	clade07 (tblastn)	clade08 (tblastn)
C289:EHM034674|EHA02355_bin.24_gene_215_3	C289			yes	pairwise		UHM1073.23039_R.bin.125|k141_197029_78 (6)	233		6/6	0/8	0/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_217_2	C289			yes	pairwise		EHM034692|EHA02331_bin.15_gene_286_3 (6)	249		6/6	0/8	1/8		Atrophin-1,CCDC47,DUF3244,DUF4381,DUF4887,DUF5683,DUF6080,DUF7096,EMC3_TMCO1,F5_F8_type_C,F5_F8_type_C_2,GvpK,HpsJ,Phage_Y01A,Spore_III_AF	Pfam	Atrophin-1,CCDC47,DUF3244,DUF4381,DUF4887,DUF5683,DUF6080,DUF7096,EMC3_TMCO1,F5_F8_type_C,F5_F8_type_C_2,GvpK,HpsJ,Phage_Y01A,Spore_III_AF	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C289:EHM034674|EHA02355_bin.24_gene_222_11	C289			yes	pairwise		EHM034720|EHA02359_bin.2_gene_184_8 (6)	559		6/6	0/8	1/8		UBA_9	Pfam	UBA_9	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_222_7	C289			yes	pairwise		EHM034692|EHA02331_bin.15_gene_71_3 (4)	215		6/6	0/8	8/8		Superoxide dismutase	ModelOrg_C289	DUF6915,Ogg-HhH,Sod_Fe_C,Sod_Fe_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_223_9	C289			yes	pairwise			501		6/6	0/8	3/8		Alpha-galactosidase	ModelOrg_C289	DUF4838,Glyco_hydro_36N,Melibiase,Tn7_TnsC_Int	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
C289:EHM034674|EHA02355_bin.24_gene_233_4	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_233_4 (3)	213		6/6	0/8	7/8		DZR,DZR_2,TPM_phosphatase,UPF0547,zf-Mss51,Zn_ribbon_15,Zn_ribbon_3	Pfam	DZR,DZR_2,TPM_phosphatase,UPF0547,zf-Mss51,Zn_ribbon_15,Zn_ribbon_3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_23_3	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_23_3 (5)	396		6/6	0/8	4/8		CD1107-like,DUF3149,DUF8063,DUF8429,GAPT,NOA36,PBP1_TM,PGA28-like_dom,POP1_C,Zip	Pfam	CD1107-like,DUF3149,DUF8063,DUF8429,GAPT,NOA36,PBP1_TM,PGA28-like_dom,POP1_C,Zip	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C289:EHM034674|EHA02355_bin.24_gene_247_7	C289			yes	pairwise			57		6/6	0/8	5/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1
C289:EHM034674|EHA02355_bin.24_gene_251_3	C289			yes	pairwise		EHM034692|EHA02331_bin.15_gene_284_13 (5)	124		6/6	0/8	7/8		Apolipoprotein,ArfB,DUF883_C,LEA_4,YtxH	Pfam	Apolipoprotein,ArfB,DUF883_C,LEA_4,YtxH	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0
C289:EHM034674|EHA02355_bin.24_gene_262_6	C289			yes	pairwise		UHM1210.23070_R.bin.101|k141_1142038_15 (6)	137		6/6	0/8	1/8		ExbD	Pfam	ExbD	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C289:EHM034674|EHA02355_bin.24_gene_267_1	C289			yes	pairwise			143		6/6	0/8	1/8		FliT	Pfam	FliT	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_271_10	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_271_10 (2)	236		6/6	0/8	8/8		TrkA-N domain protein	ModelOrg_C289	3HCDH_N,ApbA,Epimerase,F420_oxidored,NAD_binding_2,NAD_Gly3P_dh_N,TrkA_C,TrkA_N,Tudor_RapA,UDPG_MGDP_dh_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_284_3	C289			yes	pairwise		EHM034692|EHA02331_bin.15_gene_113_5 (6)	379		6/6	0/8	1/8		LDcluster4	Pfam	LDcluster4	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_289_7	C289			yes	pairwise		UHM1210.23070_R.bin.101|k141_692359_55 (6)	313		6/6	0/8	8/8		Methyltransf_28,Sulfatase	Pfam	Methyltransf_28,Sulfatase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_303_4	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_303_4 (3)	512		6/6	0/8	1/8		DUF8389,Hfq_1	Pfam	DUF8389,Hfq_1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_309_3	C289			yes	pairwise		STP248.12601_R.bin.118|k141_588353_82 (6)	889		6/6	0/8	2/8		Cytochrome_C7,Cytochrome_CBB3,Cytochrom_CIII,HZS_alpha,Mtrc-MtrF_II-IV_dom,Paired_CXXCH_1,PD40	Pfam	Cytochrome_C7,Cytochrome_CBB3,Cytochrom_CIII,HZS_alpha,Mtrc-MtrF_II-IV_dom,Paired_CXXCH_1,PD40	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
C289:EHM034674|EHA02355_bin.24_gene_326_2	C289			yes	pairwise		STP248.12601_R.bin.118|k141_465240_36 (6)	309		6/6	0/8	0/8		CSD,KOW4_SPT5,NYN,USA1_M	Pfam	CSD,KOW4_SPT5,NYN,USA1_M	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_342_3	C289			yes	pairwise		STP248.12601_R.bin.118|k141_483842_37 (12)	491		6/6	0/8	0/8		DUF4350,IFT52_GIFT,TCAF_N	Pfam	DUF4350,IFT52_GIFT,TCAF_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_35_1	C289			yes	pairwise		EHM034692|EHA02331_bin.15_gene_288_5 (4)	305		6/6	0/8	7/8		KH_PARP10,Lactamase_B,Lactamase_B_2,Lactamase_B_3	Pfam	KH_PARP10,Lactamase_B,Lactamase_B_2,Lactamase_B_3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_370_8	C289			yes	pairwise		STP248.12601_R.bin.118|k141_923502_55 (6)	241		6/6	0/8	0/8		Cytidylate_kin2	Pfam	Cytidylate_kin2	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_382_2	C289			yes	pairwise		EHM034720|EHA02359_bin.2_gene_4_8 (3)	293		6/6	0/8	5/8		Uncharacterized protein	ModelOrg_C289	3keto-disac_hyd	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0
C289:EHM034674|EHA02355_bin.24_gene_43_5	C289			yes	pairwise		EHM034720|EHA02359_bin.2_gene_94_29 (6)	159		6/6	0/8	1/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C289:EHM034674|EHA02355_bin.24_gene_58_10	C289			yes	pairwise		EHM034692|EHA02331_bin.15_gene_55_3 (5)	100		6/6	0/8	0/8		ClpS,DUF7563	Pfam	ClpS,DUF7563	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C289:EHM034674|EHA02355_bin.24_gene_68_15	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_68_15 (3)	259		6/6	0/8	6/8		DeoRC,DIP2311-like_C,DUF1670,FaeA,FilR1_N,GntR,HTH_11,HTH_24,HTH_AsnC-type,HTH_Crp_2,HTH_DeoR,HTH_Mga,HVO_A0261_N,MarR,PF0610-like_N,PheRS_DBD1	Pfam	DeoRC,DIP2311-like_C,DUF1670,FaeA,FilR1_N,GntR,HTH_11,HTH_24,HTH_AsnC-type,HTH_Crp_2,HTH_DeoR,HTH_Mga,HVO_A0261_N,MarR,PF0610-like_N,PheRS_DBD1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_83_6	C289			yes	pairwise		EHM034674|EHA02355_bin.24_gene_83_6 (3)	230		6/6	0/8	8/8		Peptidyl-prolyl cis-trans isomerase	ModelOrg_C289	Pro_isomerase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C289:EHM034674|EHA02355_bin.24_gene_96_26	C289			yes	pairwise		UHM1073.23039_R.bin.125|k141_471956_3 (5)	217		6/6	0/8	8/8		DUF1573,DUF4493,HYDIN_VesB_CFA65-like_Ig	Pfam	DUF1573,DUF4493,HYDIN_VesB_CFA65-like_Ig	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_0_6	C287			yes	pairwise		EHM034674|EHA02355_bin.24_gene_233_4 (3)	213		6/6	0/8	7/8		DZR,DZR_2,TPM_phosphatase,UPF0547,zf-Mss51,Zn_ribbon_15,Zn_ribbon_3	Pfam	DZR,DZR_2,TPM_phosphatase,UPF0547,zf-Mss51,Zn_ribbon_15,Zn_ribbon_3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_102_6	C287			yes	pairwise		UHM1073.23039_R.bin.125|k141_197029_78 (6)	233		6/6	0/8	0/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_103_8	C287			yes	pairwise		UHM1073.23039_R.bin.125|k141_471956_3 (5)	226		6/6	0/8	8/8		Cupredoxin_1,DUF1573,DUF4493,HYDIN_VesB_CFA65-like_Ig	Pfam	Cupredoxin_1,DUF1573,DUF4493,HYDIN_VesB_CFA65-like_Ig	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_107_7	C287			yes	pairwise		EHM034720|EHA02359_bin.2_gene_12_8 (5)	282		6/6	0/8	3/8		DUF1003,Fig1	Pfam	DUF1003,Fig1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
C287:EHM034692|EHA02331_bin.15_gene_108_4	C287			yes	pairwise			162		6/6	0/8	6/8		SprT-like domain-containing protein	ModelOrg_C287	Astacin,Peptidase_M90,SprT-like,Zincin_1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_109_1	C287			yes	pairwise		UHM1210.23070_R.bin.101|k141_1343831_35 (4)	216		6/6	0/8	6/8		DUF6893,LysE	Pfam	DUF6893,LysE	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0
C287:EHM034692|EHA02331_bin.15_gene_113_5	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_113_5 (6)	338		6/6	0/8	1/8		LDcluster4	Pfam	LDcluster4	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_113_6	C287			yes	pairwise			325		6/6	0/8	4/8		Tetratricopeptide TPR_2 repeat protein	ModelOrg_C287	DjlC_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C287:EHM034692|EHA02331_bin.15_gene_136_14	C287			yes	pairwise		STP248.12601_R.bin.118|k141_483842_37 (12)	491		6/6	0/8	0/8		DUF4350,IFT52_GIFT,TCAF_N	Pfam	DUF4350,IFT52_GIFT,TCAF_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_142_19	C287			yes	pairwise		STP248.12601_R.bin.118|k141_771786_39 (6)	273		6/6	0/8	0/8		DUF432	Pfam	DUF432	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_142_3	C287			yes	pairwise		EHM034720|EHA02359_bin.2_gene_184_8 (6)	559		6/6	0/8	1/8		UBA_9	Pfam	UBA_9	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_166_5	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_166_5 (6)	263		6/6	0/8	8/8		Raptor_N,Sel1	Pfam	Raptor_N,Sel1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_167_9	C287			yes	pairwise		UHM1210.23070_R.bin.101|k141_35550_25 (6)	150		6/6	0/8	0/8		DUF3850	Pfam	DUF3850	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_171_4	C287			yes	pairwise		EHM034674|EHA02355_bin.24_gene_83_6 (3)	230		6/6	0/8	8/8		Peptidyl-prolyl cis-trans isomerase	ModelOrg_C287	Pro_isomerase	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_194_14	C287			yes	pairwise		EHM034674|EHA02355_bin.24_gene_23_3 (5)	397		6/6	0/8	4/8		CD1107-like,DUF3149,DUF4337,DUF8063,DUF8429,ETRAMP,NOA36,PBP1_TM,PFF1_TM,PGA28-like_dom	Pfam	CD1107-like,DUF3149,DUF4337,DUF8063,DUF8429,ETRAMP,NOA36,PBP1_TM,PFF1_TM,PGA28-like_dom	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C287:EHM034692|EHA02331_bin.15_gene_206_18	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_206_18 (3)	436		6/6	0/8	4/8		Squalene cyclase C-terminal domain-containing protein	ModelOrg_C287	DUF829,SQHop_cyclase_C,TED_complement	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C287:EHM034692|EHA02331_bin.15_gene_211_7	C287			yes	pairwise		EHM034674|EHA02355_bin.24_gene_271_10 (2)	236		6/6	0/8	8/8		TrkA-N domain protein	ModelOrg_C287	3HCDH_N,ApbA,Epimerase,F420_oxidored,NAD_binding_2,NAD_Gly3P_dh_N,TrkA_C,TrkA_N,Tudor_RapA,UDPG_MGDP_dh_N	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_214_2	C287			yes	pairwise		EHM034674|EHA02355_bin.24_gene_194_6 (5)	785		6/6	0/8	0/8		CARDB,Cep192_D5,DNA_pol_phi,EcoEI_R_C,Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	Pfam	CARDB,Cep192_D5,DNA_pol_phi,EcoEI_R_C,Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_221_12	C287			yes	pairwise		EHM034720|EHA02359_bin.2_gene_57_3 (6)	151		6/6	0/8	0/8		GAF,GAF_2,GAF_3,GAF_EFCB5_2nd	Pfam	GAF,GAF_2,GAF_3,GAF_EFCB5_2nd	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_236_2	C287			yes	pairwise		EHM034720|EHA02359_bin.2_gene_94_29 (6)	156		6/6	0/8	1/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C287:EHM034692|EHA02331_bin.15_gene_241_18	C287			yes	pairwise		STP248.12601_R.bin.118|k141_588353_61 (5)	298		6/6	0/8	8/8					1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_248_4	C287			yes	pairwise		UHM1210.23070_R.bin.101|k141_692359_55 (6)	366		6/6	0/8	8/8		Methyltransf_28,SCO0607	Pfam	Methyltransf_28,SCO0607	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_252_3	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_252_3 (2)	336		6/6	0/8	4/8		A1_Propeptide,Allatotropin-like_C,Arc_PepC_II,Arg_decarbox_C,DUF3106,EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8,FCaBP_EF-hand,HBS1_N,SPARC_Ca_bdg	Pfam	A1_Propeptide,Allatotropin-like_C,Arc_PepC_II,Arg_decarbox_C,DUF3106,EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8,FCaBP_EF-hand,HBS1_N,SPARC_Ca_bdg	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0
C287:EHM034692|EHA02331_bin.15_gene_255_7	C287			yes	pairwise		STP248.12601_R.bin.118|k141_465240_36 (6)	310		6/6	0/8	0/8		CSD,KOW4_SPT5,NYN,USA1_M	Pfam	CSD,KOW4_SPT5,NYN,USA1_M	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_266_1	C287			yes	pairwise			155		6/6	0/8	0/8		ABC_tran_CTD,ATG16,CEP135_TSGA10_CC,Cnn_1N,DUF3347,DUF3450,HpsJ,NAD_Gly3P_dh_N,PI3K_P85_iSH2,TPR_MLP1_2,UPF0242	Pfam	ABC_tran_CTD,ATG16,CEP135_TSGA10_CC,Cnn_1N,DUF3347,DUF3450,HpsJ,NAD_Gly3P_dh_N,PI3K_P85_iSH2,TPR_MLP1_2,UPF0242	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C287:EHM034692|EHA02331_bin.15_gene_278_6	C287			yes	pairwise		UHM1210.23070_R.bin.101|k141_1142038_15 (6)	137		6/6	0/8	1/8		ExbD	Pfam	ExbD	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
C287:EHM034692|EHA02331_bin.15_gene_278_7	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_278_7 (2)	285		6/6	0/8	7/8		TonB_2,TonB_C	Pfam	TonB_2,TonB_C	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1
C287:EHM034692|EHA02331_bin.15_gene_284_13	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_284_13 (5)	124		6/6	0/8	7/8		Apolipoprotein,ArfB,DUF883_C,LEA_4,YtxH	Pfam	Apolipoprotein,ArfB,DUF883_C,LEA_4,YtxH	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0
C287:EHM034692|EHA02331_bin.15_gene_286_3	C287			yes	pairwise		EHM034692|EHA02331_bin.15_gene_286_3 (6)	249		6/6	0/8	1/8		DUF3244,DUF4381,DUF6080,F5_F8_type_C,F5_F8_type_C_2,FUT8_N_cat,Phage_Y01A	Pfam	DUF3244,DUF4381,DUF6080,F5_F8_type_C,F5_F8_type_C_2,FUT8_N_cat,Phage_Y01A	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
