amphibian_genome	ref_accession	ref_species	dali_clade	AAI_pct	n_RBH
EHM034790	RS_GCF_000020225.1	A. muciniphila	mammal	77.57	1716
EHM034790	RS_GCF_023516715.1	A. massiliensis	mammal	77.48	1802
EHM034790	RS_GCF_026072915.1	A. biwaensis	mammal	78.34	1778
EHM034790	RS_GCF_001683795.1	A. glycaniphila	reptile	58.44	1458
EHM034790	GB_GCA_019115065.1	A. intestinavium	avian	54.48	1217
EHM034790	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.34	1168
EHM034803	RS_GCF_000020225.1	A. muciniphila	mammal	58.47	1332
EHM034803	RS_GCF_023516715.1	A. massiliensis	mammal	57.84	1386
EHM034803	RS_GCF_026072915.1	A. biwaensis	mammal	58.29	1347
EHM034803	RS_GCF_001683795.1	A. glycaniphila	reptile	59.75	1284
EHM034803	GB_GCA_019115065.1	A. intestinavium	avian	54.66	1125
EHM034803	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.63	1083
EHM034857	RS_GCF_000020225.1	A. muciniphila	mammal	77.35	1735
EHM034857	RS_GCF_023516715.1	A. massiliensis	mammal	77.31	1840
EHM034857	RS_GCF_026072915.1	A. biwaensis	mammal	78.18	1757
EHM034857	RS_GCF_001683795.1	A. glycaniphila	reptile	58.44	1469
EHM034857	GB_GCA_019115065.1	A. intestinavium	avian	54.48	1215
EHM034857	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.43	1167
EHM034862	RS_GCF_000020225.1	A. muciniphila	mammal	58.61	1331
EHM034862	RS_GCF_023516715.1	A. massiliensis	mammal	58.23	1373
EHM034862	RS_GCF_026072915.1	A. biwaensis	mammal	58.51	1351
EHM034862	RS_GCF_001683795.1	A. glycaniphila	reptile	59.80	1295
EHM034862	GB_GCA_019115065.1	A. intestinavium	avian	54.84	1131
EHM034862	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.83	1083
EHM034884	RS_GCF_000020225.1	A. muciniphila	mammal	58.99	1295
EHM034884	RS_GCF_023516715.1	A. massiliensis	mammal	58.68	1330
EHM034884	RS_GCF_026072915.1	A. biwaensis	mammal	58.99	1312
EHM034884	RS_GCF_001683795.1	A. glycaniphila	reptile	60.10	1266
EHM034884	GB_GCA_019115065.1	A. intestinavium	avian	55.12	1105
EHM034884	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.98	1058
EHM034886	RS_GCF_000020225.1	A. muciniphila	mammal	77.43	1710
EHM034886	RS_GCF_023516715.1	A. massiliensis	mammal	76.81	1888
EHM034886	RS_GCF_026072915.1	A. biwaensis	mammal	77.79	1756
EHM034886	RS_GCF_001683795.1	A. glycaniphila	reptile	57.93	1461
EHM034886	GB_GCA_019115065.1	A. intestinavium	avian	54.10	1215
EHM034886	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.14	1156
EHM034914	RS_GCF_000020225.1	A. muciniphila	mammal	58.67	1161
EHM034914	RS_GCF_023516715.1	A. massiliensis	mammal	58.14	1196
EHM034914	RS_GCF_026072915.1	A. biwaensis	mammal	58.45	1178
EHM034914	RS_GCF_001683795.1	A. glycaniphila	reptile	60.14	1120
EHM034914	GB_GCA_019115065.1	A. intestinavium	avian	55.20	966
EHM034914	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.96	943
EHM035138	RS_GCF_000020225.1	A. muciniphila	mammal	77.70	1707
EHM035138	RS_GCF_023516715.1	A. massiliensis	mammal	77.76	1776
EHM035138	RS_GCF_026072915.1	A. biwaensis	mammal	78.41	1764
EHM035138	RS_GCF_001683795.1	A. glycaniphila	reptile	58.57	1447
EHM035138	GB_GCA_019115065.1	A. intestinavium	avian	54.51	1213
EHM035138	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.42	1165
EHM035162	RS_GCF_000020225.1	A. muciniphila	mammal	58.55	1333
EHM035162	RS_GCF_023516715.1	A. massiliensis	mammal	58.03	1380
EHM035162	RS_GCF_026072915.1	A. biwaensis	mammal	58.41	1347
EHM035162	RS_GCF_001683795.1	A. glycaniphila	reptile	59.85	1287
EHM035162	GB_GCA_019115065.1	A. intestinavium	avian	54.75	1127
EHM035162	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.66	1086
EHM035226	RS_GCF_000020225.1	A. muciniphila	mammal	58.63	1330
EHM035226	RS_GCF_023516715.1	A. massiliensis	mammal	58.26	1373
EHM035226	RS_GCF_026072915.1	A. biwaensis	mammal	58.55	1347
EHM035226	RS_GCF_001683795.1	A. glycaniphila	reptile	59.83	1294
EHM035226	GB_GCA_019115065.1	A. intestinavium	avian	54.89	1128
EHM035226	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.81	1083
EHM035248	RS_GCF_000020225.1	A. muciniphila	mammal	58.84	1314
EHM035248	RS_GCF_023516715.1	A. massiliensis	mammal	58.47	1344
EHM035248	RS_GCF_026072915.1	A. biwaensis	mammal	58.62	1330
EHM035248	RS_GCF_001683795.1	A. glycaniphila	reptile	60.11	1265
EHM035248	GB_GCA_019115065.1	A. intestinavium	avian	54.99	1111
EHM035248	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.84	1072
EHM035309	RS_GCF_000020225.1	A. muciniphila	mammal	77.66	1711
EHM035309	RS_GCF_023516715.1	A. massiliensis	mammal	77.66	1787
EHM035309	RS_GCF_026072915.1	A. biwaensis	mammal	78.41	1774
EHM035309	RS_GCF_001683795.1	A. glycaniphila	reptile	58.53	1449
EHM035309	GB_GCA_019115065.1	A. intestinavium	avian	54.49	1218
EHM035309	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.38	1169
EHM035336	RS_GCF_000020225.1	A. muciniphila	mammal	77.54	1710
EHM035336	RS_GCF_023516715.1	A. massiliensis	mammal	77.01	1829
EHM035336	RS_GCF_026072915.1	A. biwaensis	mammal	77.97	1791
EHM035336	RS_GCF_001683795.1	A. glycaniphila	reptile	58.31	1478
EHM035336	GB_GCA_019115065.1	A. intestinavium	avian	54.30	1225
EHM035336	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.15	1180
EHM035359	RS_GCF_000020225.1	A. muciniphila	mammal	58.59	1326
EHM035359	RS_GCF_023516715.1	A. massiliensis	mammal	58.27	1360
EHM035359	RS_GCF_026072915.1	A. biwaensis	mammal	58.57	1335
EHM035359	RS_GCF_001683795.1	A. glycaniphila	reptile	59.90	1280
EHM035359	GB_GCA_019115065.1	A. intestinavium	avian	54.94	1116
EHM035359	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.83	1073
EHM047745	RS_GCF_000020225.1	A. muciniphila	mammal	59.03	976
EHM047745	RS_GCF_023516715.1	A. massiliensis	mammal	58.62	1009
EHM047745	RS_GCF_026072915.1	A. biwaensis	mammal	58.97	990
EHM047745	RS_GCF_001683795.1	A. glycaniphila	reptile	60.07	980
EHM047745	GB_GCA_019115065.1	A. intestinavium	avian	54.92	833
EHM047745	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.88	811
EHM047773	RS_GCF_000020225.1	A. muciniphila	mammal	58.48	1483
EHM047773	RS_GCF_023516715.1	A. massiliensis	mammal	58.46	1567
EHM047773	RS_GCF_026072915.1	A. biwaensis	mammal	58.63	1527
EHM047773	RS_GCF_001683795.1	A. glycaniphila	reptile	89.67	2105
EHM047773	GB_GCA_019115065.1	A. intestinavium	avian	58.15	1273
EHM047773	GB_GCA_019114365.1	A. intestinigallinarum	avian	58.27	1222
EHM047851	RS_GCF_000020225.1	A. muciniphila	mammal	77.60	1690
EHM047851	RS_GCF_023516715.1	A. massiliensis	mammal	77.48	1784
EHM047851	RS_GCF_026072915.1	A. biwaensis	mammal	78.13	1748
EHM047851	RS_GCF_001683795.1	A. glycaniphila	reptile	58.33	1444
EHM047851	GB_GCA_019115065.1	A. intestinavium	avian	54.26	1209
EHM047851	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.34	1151
EHM047854	RS_GCF_000020225.1	A. muciniphila	mammal	58.37	1330
EHM047854	RS_GCF_023516715.1	A. massiliensis	mammal	57.90	1377
EHM047854	RS_GCF_026072915.1	A. biwaensis	mammal	58.20	1351
EHM047854	RS_GCF_001683795.1	A. glycaniphila	reptile	59.58	1302
EHM047854	GB_GCA_019115065.1	A. intestinavium	avian	54.56	1136
EHM047854	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.56	1088
EHM047874	RS_GCF_000020225.1	A. muciniphila	mammal	58.48	1321
EHM047874	RS_GCF_023516715.1	A. massiliensis	mammal	58.03	1368
EHM047874	RS_GCF_026072915.1	A. biwaensis	mammal	58.35	1341
EHM047874	RS_GCF_001683795.1	A. glycaniphila	reptile	59.69	1289
EHM047874	GB_GCA_019115065.1	A. intestinavium	avian	54.72	1123
EHM047874	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.58	1084
EHM047973	RS_GCF_000020225.1	A. muciniphila	mammal	58.50	1315
EHM047973	RS_GCF_023516715.1	A. massiliensis	mammal	58.02	1366
EHM047973	RS_GCF_026072915.1	A. biwaensis	mammal	58.33	1338
EHM047973	RS_GCF_001683795.1	A. glycaniphila	reptile	59.68	1287
EHM047973	GB_GCA_019115065.1	A. intestinavium	avian	54.64	1121
EHM047973	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.55	1076
EHM047993	RS_GCF_000020225.1	A. muciniphila	mammal	58.49	1309
EHM047993	RS_GCF_023516715.1	A. massiliensis	mammal	57.90	1371
EHM047993	RS_GCF_026072915.1	A. biwaensis	mammal	58.34	1329
EHM047993	RS_GCF_001683795.1	A. glycaniphila	reptile	59.70	1292
EHM047993	GB_GCA_019115065.1	A. intestinavium	avian	54.58	1120
EHM047993	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.55	1074
EHM058418	RS_GCF_000020225.1	A. muciniphila	mammal	58.90	1300
EHM058418	RS_GCF_023516715.1	A. massiliensis	mammal	58.66	1336
EHM058418	RS_GCF_026072915.1	A. biwaensis	mammal	58.75	1322
EHM058418	RS_GCF_001683795.1	A. glycaniphila	reptile	60.13	1265
EHM058418	GB_GCA_019115065.1	A. intestinavium	avian	55.14	1108
EHM058418	GB_GCA_019114365.1	A. intestinigallinarum	avian	55.05	1064
EHM058433	RS_GCF_000020225.1	A. muciniphila	mammal	77.56	1562
EHM058433	RS_GCF_023516715.1	A. massiliensis	mammal	77.62	1659
EHM058433	RS_GCF_026072915.1	A. biwaensis	mammal	78.37	1601
EHM058433	RS_GCF_001683795.1	A. glycaniphila	reptile	58.84	1335
EHM058433	GB_GCA_019115065.1	A. intestinavium	avian	54.84	1118
EHM058433	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.91	1074
EHM058620	RS_GCF_000020225.1	A. muciniphila	mammal	77.24	1741
EHM058620	RS_GCF_023516715.1	A. massiliensis	mammal	77.12	1882
EHM058620	RS_GCF_026072915.1	A. biwaensis	mammal	78.14	1761
EHM058620	RS_GCF_001683795.1	A. glycaniphila	reptile	58.33	1478
EHM058620	GB_GCA_019115065.1	A. intestinavium	avian	54.33	1222
EHM058620	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.41	1167
EHM058666	RS_GCF_000020225.1	A. muciniphila	mammal	77.61	1660
EHM058666	RS_GCF_023516715.1	A. massiliensis	mammal	77.36	1741
EHM058666	RS_GCF_026072915.1	A. biwaensis	mammal	78.19	1710
EHM058666	RS_GCF_001683795.1	A. glycaniphila	reptile	58.51	1412
EHM058666	GB_GCA_019115065.1	A. intestinavium	avian	54.66	1167
EHM058666	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.61	1127
EHM058679	RS_GCF_000020225.1	A. muciniphila	mammal	58.61	1328
EHM058679	RS_GCF_023516715.1	A. massiliensis	mammal	58.31	1366
EHM058679	RS_GCF_026072915.1	A. biwaensis	mammal	58.56	1345
EHM058679	RS_GCF_001683795.1	A. glycaniphila	reptile	59.91	1286
EHM058679	GB_GCA_019115065.1	A. intestinavium	avian	54.84	1125
EHM058679	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.74	1080
EHM058731	RS_GCF_000020225.1	A. muciniphila	mammal	77.68	1697
EHM058731	RS_GCF_023516715.1	A. massiliensis	mammal	77.59	1762
EHM058731	RS_GCF_026072915.1	A. biwaensis	mammal	78.31	1743
EHM058731	RS_GCF_001683795.1	A. glycaniphila	reptile	58.26	1442
EHM058731	GB_GCA_019115065.1	A. intestinavium	avian	54.47	1208
EHM058731	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.51	1158
EHM058868	RS_GCF_000020225.1	A. muciniphila	mammal	58.61	1324
EHM058868	RS_GCF_023516715.1	A. massiliensis	mammal	58.24	1360
EHM058868	RS_GCF_026072915.1	A. biwaensis	mammal	58.48	1337
EHM058868	RS_GCF_001683795.1	A. glycaniphila	reptile	59.85	1277
EHM058868	GB_GCA_019115065.1	A. intestinavium	avian	54.73	1119
EHM058868	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.62	1077
EHM058880	RS_GCF_000020225.1	A. muciniphila	mammal	77.61	1704
EHM058880	RS_GCF_023516715.1	A. massiliensis	mammal	77.35	1792
EHM058880	RS_GCF_026072915.1	A. biwaensis	mammal	78.24	1757
EHM058880	RS_GCF_001683795.1	A. glycaniphila	reptile	58.36	1459
EHM058880	GB_GCA_019115065.1	A. intestinavium	avian	54.45	1212
EHM058880	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.40	1165
EHM058986	RS_GCF_000020225.1	A. muciniphila	mammal	77.59	1697
EHM058986	RS_GCF_023516715.1	A. massiliensis	mammal	77.73	1764
EHM058986	RS_GCF_026072915.1	A. biwaensis	mammal	78.25	1741
EHM058986	RS_GCF_001683795.1	A. glycaniphila	reptile	58.53	1436
EHM058986	GB_GCA_019115065.1	A. intestinavium	avian	54.50	1202
EHM058986	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.45	1153
EHM059126	RS_GCF_000020225.1	A. muciniphila	mammal	58.69	1292
EHM059126	RS_GCF_023516715.1	A. massiliensis	mammal	58.30	1324
EHM059126	RS_GCF_026072915.1	A. biwaensis	mammal	58.61	1304
EHM059126	RS_GCF_001683795.1	A. glycaniphila	reptile	60.02	1247
EHM059126	GB_GCA_019115065.1	A. intestinavium	avian	55.13	1083
EHM059126	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.90	1048
EHM059156	RS_GCF_000020225.1	A. muciniphila	mammal	77.53	1716
EHM059156	RS_GCF_023516715.1	A. massiliensis	mammal	77.40	1808
EHM059156	RS_GCF_026072915.1	A. biwaensis	mammal	78.30	1778
EHM059156	RS_GCF_001683795.1	A. glycaniphila	reptile	58.33	1474
EHM059156	GB_GCA_019115065.1	A. intestinavium	avian	54.43	1219
EHM059156	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.38	1166
EHM059209	RS_GCF_000020225.1	A. muciniphila	mammal	58.66	1319
EHM059209	RS_GCF_023516715.1	A. massiliensis	mammal	58.29	1359
EHM059209	RS_GCF_026072915.1	A. biwaensis	mammal	58.55	1338
EHM059209	RS_GCF_001683795.1	A. glycaniphila	reptile	59.93	1275
EHM059209	GB_GCA_019115065.1	A. intestinavium	avian	54.90	1117
EHM059209	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.84	1071
EHM059270	RS_GCF_000020225.1	A. muciniphila	mammal	77.67	1706
EHM059270	RS_GCF_023516715.1	A. massiliensis	mammal	77.17	1815
EHM059270	RS_GCF_026072915.1	A. biwaensis	mammal	77.93	1778
EHM059270	RS_GCF_001683795.1	A. glycaniphila	reptile	58.21	1477
EHM059270	GB_GCA_019115065.1	A. intestinavium	avian	54.25	1224
EHM059270	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.27	1174
EHM059424	RS_GCF_000020225.1	A. muciniphila	mammal	77.44	1732
EHM059424	RS_GCF_023516715.1	A. massiliensis	mammal	77.61	1821
EHM059424	RS_GCF_026072915.1	A. biwaensis	mammal	78.27	1764
EHM059424	RS_GCF_001683795.1	A. glycaniphila	reptile	58.41	1456
EHM059424	GB_GCA_019115065.1	A. intestinavium	avian	54.42	1224
EHM059424	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.38	1174
EHM059442	RS_GCF_000020225.1	A. muciniphila	mammal	58.58	1325
EHM059442	RS_GCF_023516715.1	A. massiliensis	mammal	58.11	1371
EHM059442	RS_GCF_026072915.1	A. biwaensis	mammal	58.56	1337
EHM059442	RS_GCF_001683795.1	A. glycaniphila	reptile	59.77	1287
EHM059442	GB_GCA_019115065.1	A. intestinavium	avian	54.85	1119
EHM059442	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.81	1075
EHM059595	RS_GCF_000020225.1	A. muciniphila	mammal	58.59	1329
EHM059595	RS_GCF_023516715.1	A. massiliensis	mammal	58.14	1366
EHM059595	RS_GCF_026072915.1	A. biwaensis	mammal	58.39	1347
EHM059595	RS_GCF_001683795.1	A. glycaniphila	reptile	59.89	1286
EHM059595	GB_GCA_019115065.1	A. intestinavium	avian	54.92	1121
EHM059595	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.82	1078
EHM059643	RS_GCF_000020225.1	A. muciniphila	mammal	58.33	1010
EHM059643	RS_GCF_023516715.1	A. massiliensis	mammal	57.86	1044
EHM059643	RS_GCF_026072915.1	A. biwaensis	mammal	58.22	1027
EHM059643	RS_GCF_001683795.1	A. glycaniphila	reptile	59.55	983
EHM059643	GB_GCA_019115065.1	A. intestinavium	avian	54.56	853
EHM059643	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.55	811
EHM059645	RS_GCF_000020225.1	A. muciniphila	mammal	77.59	1581
EHM059645	RS_GCF_023516715.1	A. massiliensis	mammal	77.55	1661
EHM059645	RS_GCF_026072915.1	A. biwaensis	mammal	78.36	1619
EHM059645	RS_GCF_001683795.1	A. glycaniphila	reptile	58.58	1349
EHM059645	GB_GCA_019115065.1	A. intestinavium	avian	54.51	1134
EHM059645	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.62	1079
EHM059655	RS_GCF_000020225.1	A. muciniphila	mammal	77.56	1702
EHM059655	RS_GCF_023516715.1	A. massiliensis	mammal	77.20	1819
EHM059655	RS_GCF_026072915.1	A. biwaensis	mammal	78.22	1760
EHM059655	RS_GCF_001683795.1	A. glycaniphila	reptile	58.24	1461
EHM059655	GB_GCA_019115065.1	A. intestinavium	avian	54.14	1220
EHM059655	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.32	1158
EHM059778	RS_GCF_000020225.1	A. muciniphila	mammal	77.45	1662
EHM059778	RS_GCF_023516715.1	A. massiliensis	mammal	77.11	1778
EHM059778	RS_GCF_026072915.1	A. biwaensis	mammal	78.18	1717
EHM059778	RS_GCF_001683795.1	A. glycaniphila	reptile	58.16	1421
EHM059778	GB_GCA_019115065.1	A. intestinavium	avian	54.03	1188
EHM059778	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.14	1129
EHM059788	RS_GCF_000020225.1	A. muciniphila	mammal	58.62	1303
EHM059788	RS_GCF_023516715.1	A. massiliensis	mammal	58.31	1349
EHM059788	RS_GCF_026072915.1	A. biwaensis	mammal	58.40	1330
EHM059788	RS_GCF_001683795.1	A. glycaniphila	reptile	59.70	1287
EHM059788	GB_GCA_019115065.1	A. intestinavium	avian	54.72	1116
EHM059788	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.80	1075
EHM059835	RS_GCF_000020225.1	A. muciniphila	mammal	58.53	1281
EHM059835	RS_GCF_023516715.1	A. massiliensis	mammal	58.12	1324
EHM059835	RS_GCF_026072915.1	A. biwaensis	mammal	58.37	1298
EHM059835	RS_GCF_001683795.1	A. glycaniphila	reptile	59.86	1242
EHM059835	GB_GCA_019115065.1	A. intestinavium	avian	54.80	1084
EHM059835	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.77	1035
EHM059873	RS_GCF_000020225.1	A. muciniphila	mammal	77.43	1703
EHM059873	RS_GCF_023516715.1	A. massiliensis	mammal	77.29	1825
EHM059873	RS_GCF_026072915.1	A. biwaensis	mammal	78.17	1749
EHM059873	RS_GCF_001683795.1	A. glycaniphila	reptile	58.23	1456
EHM059873	GB_GCA_019115065.1	A. intestinavium	avian	54.19	1215
EHM059873	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.34	1152
EHM059896	RS_GCF_000020225.1	A. muciniphila	mammal	58.35	1329
EHM059896	RS_GCF_023516715.1	A. massiliensis	mammal	57.95	1373
EHM059896	RS_GCF_026072915.1	A. biwaensis	mammal	58.24	1344
EHM059896	RS_GCF_001683795.1	A. glycaniphila	reptile	59.62	1297
EHM059896	GB_GCA_019115065.1	A. intestinavium	avian	54.54	1131
EHM059896	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.64	1079
EHM059934	RS_GCF_000020225.1	A. muciniphila	mammal	58.45	1324
EHM059934	RS_GCF_023516715.1	A. massiliensis	mammal	58.02	1368
EHM059934	RS_GCF_026072915.1	A. biwaensis	mammal	58.21	1348
EHM059934	RS_GCF_001683795.1	A. glycaniphila	reptile	59.57	1296
EHM059934	GB_GCA_019115065.1	A. intestinavium	avian	54.57	1133
EHM059934	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.50	1085
EHM059995	RS_GCF_000020225.1	A. muciniphila	mammal	58.41	1332
EHM059995	RS_GCF_023516715.1	A. massiliensis	mammal	58.15	1375
EHM059995	RS_GCF_026072915.1	A. biwaensis	mammal	58.27	1354
EHM059995	RS_GCF_001683795.1	A. glycaniphila	reptile	59.77	1295
EHM059995	GB_GCA_019115065.1	A. intestinavium	avian	54.71	1128
EHM059995	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.71	1079
EHM060097	RS_GCF_000020225.1	A. muciniphila	mammal	58.39	1325
EHM060097	RS_GCF_023516715.1	A. massiliensis	mammal	57.90	1376
EHM060097	RS_GCF_026072915.1	A. biwaensis	mammal	58.27	1340
EHM060097	RS_GCF_001683795.1	A. glycaniphila	reptile	59.58	1295
EHM060097	GB_GCA_019115065.1	A. intestinavium	avian	54.50	1129
EHM060097	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.48	1082
EHM060125	RS_GCF_000020225.1	A. muciniphila	mammal	58.47	1321
EHM060125	RS_GCF_023516715.1	A. massiliensis	mammal	58.10	1363
EHM060125	RS_GCF_026072915.1	A. biwaensis	mammal	58.29	1342
EHM060125	RS_GCF_001683795.1	A. glycaniphila	reptile	59.79	1285
EHM060125	GB_GCA_019115065.1	A. intestinavium	avian	54.79	1115
EHM060125	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.72	1067
EHM060165	RS_GCF_000020225.1	A. muciniphila	mammal	58.42	1323
EHM060165	RS_GCF_023516715.1	A. massiliensis	mammal	57.91	1375
EHM060165	RS_GCF_026072915.1	A. biwaensis	mammal	58.28	1340
EHM060165	RS_GCF_001683795.1	A. glycaniphila	reptile	59.66	1293
EHM060165	GB_GCA_019115065.1	A. intestinavium	avian	54.60	1128
EHM060165	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.68	1075
EHM062124	RS_GCF_000020225.1	A. muciniphila	mammal	58.58	1320
EHM062124	RS_GCF_023516715.1	A. massiliensis	mammal	58.17	1365
EHM062124	RS_GCF_026072915.1	A. biwaensis	mammal	58.50	1338
EHM062124	RS_GCF_001683795.1	A. glycaniphila	reptile	59.83	1291
EHM062124	GB_GCA_019115065.1	A. intestinavium	avian	54.82	1121
EHM062124	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.68	1080
EHM062339	RS_GCF_000020225.1	A. muciniphila	mammal	58.42	1319
EHM062339	RS_GCF_023516715.1	A. massiliensis	mammal	58.02	1363
EHM062339	RS_GCF_026072915.1	A. biwaensis	mammal	58.22	1342
EHM062339	RS_GCF_001683795.1	A. glycaniphila	reptile	59.61	1291
EHM062339	GB_GCA_019115065.1	A. intestinavium	avian	54.63	1127
EHM062339	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.54	1083
EHM062382	RS_GCF_000020225.1	A. muciniphila	mammal	77.47	1673
EHM062382	RS_GCF_023516715.1	A. massiliensis	mammal	77.21	1788
EHM062382	RS_GCF_026072915.1	A. biwaensis	mammal	78.17	1728
EHM062382	RS_GCF_001683795.1	A. glycaniphila	reptile	58.23	1429
EHM062382	GB_GCA_019115065.1	A. intestinavium	avian	54.08	1195
EHM062382	GB_GCA_019114365.1	A. intestinigallinarum	avian	54.19	1139
STP248.12601_R.bin.115	RS_GCF_000020225.1	A. muciniphila	mammal	58.62	1300
STP248.12601_R.bin.115	RS_GCF_023516715.1	A. massiliensis	mammal	58.09	1349
